type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78
  95,  22,  19,  17,  68,  54,  18,  2,  6,  234,  32,  32,  7,  37,  14, 53, 39, 55, 44, 59, 58, 13, 11, 41, 25, 184, 67, 7, 20, 9, 13, 17, 10, 12, 13, 12, 12, 6, 8, 11, 8, 18, 9, 7, 10, 6, 7, 7, 6, 10, 13, 13, 6, 11, 5, 7, 7, 7, 8, 6, 7, 37, 15, 15, 19, 19, 21, 25, 11, 21, 14, 7, 8, 12, 10, 15, 13, 22, 8
  57,  36,  18,  13,  80,  22,  4,  16,  5,  220,  44,  44,  14,  47,  41, 43, 43, 56, 58, 54, 53, 17, 13, 48, 58, 212, 51, 6, 14, 12, 11, 15, 7, 13, 20, 11, 12, 7, 9, 4, 10, 11, 11, 8, 10, 8, 8, 6, 7, 11, 10, 7, 5, 8, 5, 10, 9, 7, 10, 6, 4, 37, 15, 19, 18, 18, 20, 16, 9, 20, 13, 8, 12, 13, 10, 10, 11, 20, 12
  59,  45,  33,  13,  41,  48,  25,  15,  18,  239,  37,  37,  28,  30,  9, 45, 45, 63, 62, 45, 55, 17, 20, 53, 83, 242, 38, 12, 13, 12, 9, 14, 5, 12, 17, 10, 9, 6, 8, 12, 16, 9, 12, 7, 7, 10, 10, 6, 7, 13, 9, 9, 5, 11, 5, 12, 9, 6, 9, 6, 6, 55, 19, 18, 20, 20, 19, 23, 9, 13, 11, 10, 13, 11, 9, 9, 8, 15, 11
  33,  33,  15,  18,  75,  22,  18,  13,  18,  230,  18,  18,  4,  35,  13, 57, 39, 68, 46, 42, 56, 18, 18, 43, 74, 238, 35, 11, 17, 16, 9, 6, 4, 13, 21, 11, 10, 6, 9, 13, 12, 13, 9, 10, 8, 9, 9, 5, 4, 8, 6, 5, 6, 10, 8, 11, 7, 5, 16, 9, 10, 62, 22, 17, 23, 23, 17, 22, 11, 11, 9, 10, 14, 12, 11, 8, 7, 15, 14
  74,  21,  21,  18,  41,  41,  17,  13,  15,  209,  61,  61,  24,  20,  56, 68, 42, 61, 46, 52, 53, 17, 25, 47, 98, 242, 37, 8, 16, 17, 10, 7, 7, 11, 12, 11, 17, 6, 7, 13, 13, 13, 14, 12, 8, 6, 6, 4, 5, 7, 9, 6, 9, 13, 11, 10, 6, 4, 11, 8, 12, 42, 24, 14, 26, 26, 17, 20, 15, 8, 10, 10, 14, 18, 8, 11, 10, 17, 10
  54,  38,  51,  14,  48,  50,  31,  20,  8,  224,  61,  61,  5,  30,  35, 64, 36, 56, 48, 56, 51, 16, 24, 40, 126, 238, 46, 7, 14, 21, 10, 9, 9, 11, 14, 12, 15, 6, 8, 10, 7, 11, 20, 12, 14, 5, 5, 5, 5, 6, 10, 8, 10, 8, 12, 14, 5, 4, 18, 7, 12, 48, 19, 10, 18, 18, 15, 14, 16, 14, 13, 8, 8, 22, 11, 12, 13, 20, 11
  162,  33,  57,  22,  45,  37,  7,  3,  18,  244,  40,  40,  15,  25,  17, 66, 30, 51, 50, 50, 43, 29, 27, 43, 117, 203, 49, 7, 11, 20, 7, 9, 15, 14, 11, 12, 15, 10, 8, 9, 9, 7, 21, 13, 17, 5, 4, 6, 6, 4, 8, 9, 10, 8, 9, 15, 5, 3, 12, 5, 6, 56, 11, 16, 19, 19, 17, 17, 15, 16, 12, 10, 10, 18, 12, 12, 13, 18, 10
  233,  40,  18,  26,  54,  50,  20,  20,  9,  216,  53,  53,  17,  34,  48, 68, 29, 58, 44, 47, 53, 38, 16, 45, 106, 250, 42, 12, 11, 16, 5, 7, 12, 20, 8, 13, 14, 10, 9, 15, 13, 6, 20, 13, 14, 6, 8, 5, 7, 12, 7, 9, 7, 4, 9, 14, 4, 6, 15, 5, 7, 56, 10, 19, 20, 20, 18, 15, 11, 16, 17, 11, 9, 12, 17, 11, 10, 18, 10
  184,  60,  15,  29,  28,  39,  19,  17,  6,  222,  62,  62,  16,  31,  23, 50, 39, 64, 39, 47, 59, 40, 15, 49, 129, 208, 48, 13, 13, 14, 8, 8, 10, 20, 14, 12, 14, 12, 9, 12, 15, 6, 15, 13, 9, 6, 10, 5, 8, 11, 9, 4, 9, 10, 7, 11, 5, 8, 9, 4, 7, 55, 17, 25, 21, 21, 17, 13, 10, 11, 14, 11, 10, 15, 23, 14, 10, 15, 8
  174,  51,  14,  6,  52,  20,  20,  19,  9,  214,  22,  22,  9,  55,  39, 46, 60, 50, 38, 43, 59, 41, 36, 51, 152, 247, 54, 17, 16, 13, 12, 11, 8, 17, 12, 11, 14, 11, 8, 15, 20, 6, 13, 7, 5, 8, 14, 7, 10, 12, 18, 11, 9, 10, 5, 9, 6, 11, 9, 4, 6, 60, 25, 25, 24, 24, 19, 12, 15, 11, 12, 7, 10, 24, 23, 14, 11, 12, 12
  96,  62,  27,  16,  48,  47,  16,  24,  9,  228,  41,  41,  19,  38,  42, 63, 51, 55, 45, 43, 52, 39, 55, 46, 106, 234, 52, 13, 19, 11, 13, 14, 12, 11, 12, 7, 8, 11, 5, 12, 17, 9, 7, 10, 4, 10, 13, 9, 7, 7, 21, 14, 10, 17, 2, 7, 11, 10, 5, 4, 5, 63, 26, 23, 25, 25, 17, 20, 18, 15, 8, 7, 9, 34, 20, 12, 8, 13, 12
  74,  49,  22,  11,  89,  69,  17,  4,  11,  227,  32,  32,  20,  51,  14, 65, 36, 67, 49, 48, 57, 30, 35, 55, 140, 225, 54, 11, 18, 15, 16, 16, 15, 12, 6, 9, 5, 11, 4, 11, 19, 7, 8, 7, 7, 9, 9, 8, 8, 9, 18, 13, 7, 12, 3, 5, 14, 15, 4, 7, 5, 57, 24, 28, 21, 21, 25, 19, 27, 16, 9, 7, 11, 34, 13, 8, 8, 16, 18
  82,  30,  13,  48,  31,  69,  10,  15,  9,  213,  24,  24,  34,  66,  37, 57, 36, 61, 47, 47, 62, 44, 19, 54, 219, 218, 50, 12, 22, 13, 14, 16, 13, 10, 7, 11, 6, 10, 9, 14, 16, 6, 9, 6, 7, 12, 10, 7, 8, 8, 11, 11, 5, 12, 5, 5, 14, 14, 5, 6, 6, 59, 23, 28, 18, 18, 23, 17, 21, 13, 8, 7, 9, 23, 19, 15, 9, 24, 12
  110,  56,  6,  38,  20,  27,  15,  15,  9,  204,  46,  46,  27,  68,  40, 60, 50, 67, 58, 57, 66, 65, 97, 55, 212, 236, 51, 14, 19, 15, 13, 15, 11, 10, 8, 11, 6, 12, 12, 14, 13, 6, 8, 5, 7, 10, 10, 7, 7, 7, 8, 7 , 8, 8, 10, 6, 8, 13, 6, 8, 10, 48, 23, 25, 17, 17, 23, 18, 17, 8, 10, 10, 11, 52, 18, 16, 14, 24, 11
  44,  32,  12,  68,  60,  59,  49,  13,  16,  240,  26,  26,  6,  45,  46, 61, 65, 75, 80, 72, 74, 75, 111, 67, 232, 246, 74, 17, 24, 13, 11, 11, 13, 9, 11, 9, 8, 10, 12, 19, 11, 6, 6, 7, 9, 9, 12, 6, 6, 6, 9, 7, 12, 10, 11, 11, 7, 7, 7, 4, 9, 37, 18, 20, 21, 21, 17, 25, 11, 13, 12, 12, 11, 66, 20, 15, 14, 21, 10
